time,expected_pnl,is_bid,market,price,size_base,size_usd,total_cost,total_units,rolling_pnl
2026-04-05 00:09:40.979956028,0.030521867304918668,False,MONUSDC,0.027128999864355217,7372.1847469497,199.97051,-17162.702276999997,-632466.4388321385,4.5203437136842695
2026-04-05 00:09:42.982506619,0.07430752987812718,False,MONUSDC,0.027102999975605314,10014.7642048595,271.65048,-17434.132430999998,-642481.203036998,20.96440076136787
2026-04-05 00:09:43.390548365,0.4035759886790742,False,MONUSDC,0.027102999996014312,54451.8475525598,1475.37281,-18909.940854999997,-696933.0505895579,20.964387648968113
2026-04-05 00:09:43.390561915,1.2244470373673961,False,MONUSDC,0.027120999983812535,48185.31133734,1305.58101,-20216.774682999996,-745118.3619268979,8.419601242174394
2026-04-05 00:09:43.792516164,0.06163416182195378,False,MONUSDC,0.027098999944646904,18065.8039780065,489.49296,-20706.339903999997,-763184.1659049044,24.812234387598437
2026-04-05 00:09:43.792526785,0.13414554010773957,False,MONUSDC,0.02709899997456738,39319.5220118823,1065.36245,-21771.859629999995,-802503.6879167866,24.812211552765802
2026-04-05 00:09:43.792536445,0.01588326190482803,False,MONUSDC,0.02709899978521543,4655.8156758551,126.14933,-21898.027577999994,-807159.5035926418,24.812363508401177
2026-04-05 00:09:44.196535980,0.07760413495484349,False,MONUSDC,0.027098999956037744,22746.7425366249,616.32299,-22514.441552999993,-829906.2461292667,24.81222562754556
2026-04-05 00:09:44.196547520,0.07578565873277257,False,MONUSDC,0.027098999954982876,22213.7314661057,601.88105,-23116.411460999992,-852119.9775953724,24.81222650298878
2026-04-05 00:09:44.196556850,0.012849884397249161,False,MONUSDC,0.027098999734516502,3766.7063360271,102.05891,-23218.48543499999,-855886.6839313995,24.81241436678829
2026-04-05 00:09:44.591200634,0.33203255667343745,False,MONUSDC,0.027098999981047096,52762.2342152846,1429.59274,-24648.28921899999,-908648.9181466841,24.81220336453407
2026-04-05 00:09:44.591212214,0.027269969977335676,False,MONUSDC,0.027098999769241246,4333.5297612458,117.41699,-24765.723540999992,-912982.4479079299,24.812395821692917
2026-04-05 00:09:44.991813652,0.026910808379968818,False,MONUSDC,0.02709999972900003,3690.036900369,99.98155,-24865.72353999999,-916672.4848082989,23.899450113309285
